"1","Bulbasaur","001","Kanto forests and jungles","When Bulbasaur are born, their mothers plant seeds on their backs. The plants form symbiotic relationships with their hosts, growing alongside the Pokémon and providing them with sustenance. By lying about in the sun, Bulbasaur allow the plants on their backs to photosynthesize and produce energy, which they can then use for themselves. The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well. Additionally, Bulbasaur can utilize their plants to perform Grass- and Poison-type attacks such as Razor Leaf and Poison Powder. The attacks protect both the Pokémon and the plants from harm. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.","﻿Evolves into Ivysaur at Lvl 16Ivysaur evolves into Venusaur at Lvl 32","Grass/Poison"," 2'04\" | 0.7 m"," 15.2 lbs | 6.9 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"2","Ivysaur","002","Kanto forests and jungles","Upon evolution from Bulbasaur, Ivysaur become larger and more powerful. However, as a trade-off for their bulk, they also lose their ability to stand on their hind legs due to the mass of the bulbs on their backs. Their legs also grow stronger to compensate for the extra weight. Ivysaur are able to naturally learn the powerful Grass-type attack Solar Beam, a move whose execution time depends largely upon the weather; it takes an excruciatingly long amount of time to perform this attack in hail, rain, or a sandstorm, but nearly no time at all in bright sunlight. Luckily, the latter is ​most common in the habitats of these Pokémon, as it is vital that the bulbs on their backs receive ample sunlight so that they can photosynthesize and develop. As the bulbs grow larger and these Ivysaur become more powerful, they must spend increasing amounts of time in the sun in order to foster their growth. When Ivysaur are preparing to evolve into Venusaur, they will spend more time sunbathing and their bulbs will begin emanating a sweet, pleasant aroma.","﻿Evolves from Bulbasaur at Lvl 16Evolves into Venusaur at Lvl 32","Grass/Poison"," 3'03\" | 1.0 m"," 28.7 lbs | 13.0 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"3","Venusaur","003","Kanto forests and jungles","The final evolution of Bulbasaur, Venusaur are powerful but relatively nonviolent Pokémon. Despite their menacing appearances, Venusaur are docile Pokémon, preferring to sunbathe so that the plants on their backs can photosynthesize rather than fight. They follow sunny patches that reach the forest floor as the sun moves across the sky. With enough solar energy, the flowers on their backs can release a fragrance that calms both hostile Pokémon and people alike. The scent also attracts a number of Bug-type Pokémon to the flowers as well to aid in their pollination during the breeding season. This ability allows Venusaur to serve as peacekeepers of sorts in their native forests, not only stopping fights that break out in their territories, but also defending their domains from dangers with their might if necessary. Female Venusaur have seeds in their flowers, which they plant into the backs of their offspring to grow into new plants. Their gentle dispositions but great power are what make them one of the most well-rounded Pokémon any Kanto trainer could start their Pokémon journeys with.","Bulbasaur evolves into Ivysaur at Lvl 16Evolves from Ivysaur at Lvl 32Can Mega Evolve into Mega Venusaur","Grass/Poison"," 6'07\" | 2.0 m"," 220.5 lbs | 100.0 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"4","Charmander","004","Kanto mountains and volcanoes","Charmander are rare Pokémon not often found in the wild, making their homes in volcanoes and mountains--particularly those with nooks and crags that can easily provide protection from the weather. This is because the flames on their tails are directly linked to their well-being. A flame that burns brightly signals a healthy Pokémon, while a dim, sputtering flame indicates a sickly one. Charmander will die if their fires go out. Their flames steam when in high humidity, warning them of potential danger. These flames also indicate their emotions. Gently wavering flames signal happiness, while blazing tails mean anger. Despite being Fire-types, Charmander are not immune to fire; infant ones, in fact, often burn themselves on their own tails. However, like many Fire-types, they do have an affinity for hot things, and their skin does toughen as they age. Despite the many dangers and precautions raising Charmander may pose,  they still remain one of the most popular starter Pokémon for trainers in the Kanto region.","﻿Evolves into Charmeleon at Lvl 16Charmeleon evolves into Charizard at Lvl 36","Research Notes","Fire"," 2'04\" | 0.6 m"," 18.7 lbs | 8.5 kg"," Blaze |","Solar Power","Solar Power","
			Caution
		"
"5","Charmeleon","005","Kanto mountains and volcanoes","Charmeleon have been described as “vicious,” “barbaric,” and perhaps most fittingly, “hot-headed.” They can easily raise the surrounding ambient temperature to unbearable levels simply by swinging their tails around. Charmeleon attack by knocking their foes down with their blazing tails and slashing them mercilessly with their sharp claws, not ceasing until their enemies are thoroughly beaten. In their fervor, their tails often begin to burn a bluish-white; at night, they can light up mountainsides like stars if groups of them are present. Enraged Charmeleon often take out their anger on their surroundings, incinerating anything flammable around them with unrestrained Flamethrowers. This stage is often likened to a human’s teenage years--moody and reckless. For starting trainers, reining in disobedient Charmeleon can be extremely challenging, as well as potentially dangerous if not handled well. However, with proper care and treatment, a trainer can earn a Charmeleon’s respect, and eventually its obedience as well.","Evolves from Charmander at Lvl 16Evolves into Charizard at Lvl 36","Research Notes","Fire"," 3'07\" | 1.1 m"," 41.9 lbs | 19.0 kg"," Blaze |","Solar Power","Solar Power","
			Caution
		"
"6","Charizard","006","Kanto mountains and volcanoes","Charizard can spew powerful flames that can melt boulders and glaciers--and rather unfortunately, also easily and unintentionally start forest fires. For this reason, it is common courtesy to recall any Pokémon that have uncontrollable flames (like the ones on the tails of Charizard) back into their Poké Balls in heavily forested areas. A Charizard’s flame temperature increases with training, and it is said that Charizard that have experienced particularly brutal battles have even hotter flames. Like Charmeleon, an enraged Charizard’s flames can burn a whitish-blue. Unlike them, however, Charizard can more easily control their their tempers; they will nobly never attack foes weaker than themselves. Charizard can fly almost 4,600 feet (1,400 meters) into the air, soaring far above the mountains and volcanoes they call home. Trainers who manage to protect their vulnerable Charmander and then deal with their moody Charmeleon are rewarded with noble and powerful Charizard to call their own.","﻿Charmander into Charmeleon at Lvl 16Evolves from Charmeleon at Lvl 36​Can Mega Evolve into Mega Charizard X or Mega Charizard YCertain Charizard can Gigantamax into Gigantamax Charizard","Research Notes","Fire/Flying"," 5'07\" | 1.7 m"," 199.5 lbs | 90.5 kg"," Blaze |","Solar Power","Solar Power","
			Caution
		"
"7","Squirtle","007","Kanto lakes and ponds","Squirtle are born with soft shells, and are vulnerable until these shells harden in a process that takes about a week or so. To protect themselves, they withdraw into their sturdy shells and attack using Bubble and Water Gun to scare off potential dangers. Their carapaces can bounce back many attacks, protecting the Pokémon from harm. Additionally, the smooth exteriors of the shells allow Squirtle to glide more swiftly and smoothly through the water. Though rare in the wild, they can occasionally be found around freshwater lakes and ponds, and even in slow-flowing rivers. A few ​isolated populations can be found on islands in the middle of the ocean, but these groups are rare and are exceptions rather than the norm. Squirtle are often found in groups, which while officially are referred to as “bales,” are more popularly known as a “squads.” Squirtle, the third of the Kanto starter trio, are often viewed as a middle ground between the other two; not as docile as Bulbasaur, but not as rash as Charmander.","Evolves into Wartortle at Lvl 16Wartortle evolves into Blastoise at Lvl 36","Water"," 1'08\" | 0.5 m"," 19.8 lbs | 9.0 kg"," Torrent |"," "," Monster | Water 1"," Monster | Water 1","
			Caution
		"
"8","Wartortle","008","Kanto lakes and ponds","As semi-aquatic Pokémon, Wartortle can stay submerged underwater for long periods of time, holding air in the rich fur of their tails. These tails, rather humorously, stick out of their shells even when the rest of their bodies are withdrawn. They use water to cloak themselves before attacking prey and swiftly swimming after them, using their ears and tails to balance themselves. Wartortle are said to live 10,000 years; it is thought that individuals with more deeply-colored tails and more algae on their shells are older. While this holds true to an extent, Wartortle have not actually been documented to live this long, though they regularly surpass 100 years of age. Because of this, Wartortle tails are regarded as symbols of longevity. In the past, people would hunt Wartortle and hold locks of their tail fur in hopes of living long lives. Wartortle pride themselves on scratched shells, as they show toughness in battle. Generally, it is believed that the more scratches a Wartortle gains during this stage, the stronger it will be after evolution.","﻿Evolves from Squirtle at Lvl 16Evolves into Blastoise at Lvl 36","Water"," 3'03\" | 1.0 m"," 49.6 lbs | 22.5 kg"," Torrent |"," "," Monster | Water 1"," Monster | Water 1","
			Caution
		"
"9","Blastoise","009","Kanto lakes and ponds","Blastoise are powerful Pokémon that are most famous (aside from being a part of the Kanto starter trio) for the cannons on their backs. These cannons are stronger than fire hoses, and can shoot water over 160 feet (50 meters) away with enough force to break through concrete and solid steel. Additionally, Blastoise can use these cannons to jet themselves through the water to tackle foes at high speeds. Blastoise intentionally make themselves heavy for multiple reasons. Weight adds power to these jet-tackles, for example, and also allows them to crush foes on land. Most importantly, however it enables them to withstand the recoil from their powerful cannon blasts.  These blasts are accurate as well as powerful; bullets of water shot from these cannons can hit and destroy tin cans situated 160 feet away. As a last resort, Blastoise can withdraw into their thick and sturdy shells for protection. Like the other Kanto starters, Blastoise are extremely powerful Pokémon that any Pokémon trainer would be lucky to have.","﻿Squirtle evolves into Wartortle at Lvl 16Evolves from Wartortle at Lvl 36​Can Mega Evolve into Mega Blastoise","Water"," 5'03\" | 1.6 m"," 188.5 lbs | 88.5 kg"," Torrent |"," "," Monster | Water 1"," Monster | Water 1","
			Caution
		"
"10","Caterpie","010","Forests, jungles","Caterpie are common Pokémon in Kanto and Johto forests; they are also occasionally found in Sinnoh and Kalos as well. They are ravenous eaters, often consuming leaves larger than themselves with ease. As weak, soft-bodied Pokémon, Caterpie attempt to gather as much energy as possible to hasten their evolutions into Metapod, and afterwards into Butterfree. However, they are not completely defenseless and do have a few tricks up their sleeves. Firstly, the large eyes on their heads can trick and confuse predators into thinking they are dealing with much larger Pokémon. Secondly, the suction pads on their feet allow them to climb nearly any surface and escape from predators. Additionally, Caterpie can use String Shot to slow down their enemies and buy time for escape. Finally, the antennae on their heads release a very noxious odor when disturbed. These defense mechanisms allow Caterpie to thrive in their native habitats, and combined with the large clutch sizes of Butterfree, make them are one of the most common Pokémon trainers encounter in forests.","Evolves into Metapod at Lvl 7Metapod evolves into ﻿Butterfree﻿ at Lvl 10","Bug"," 1'00\" | 0.3 m"," 6.4 lbs | 2.9 kg"," Shield Dust |"," "," Bug"," Bug","
			Caution
		"
"11","Metapod","011","Forests, jungles","When preparing to evolve, Caterpie spin cocoons around themselves. These cocoons, while still vulnerable when soft, will eventually harden into iron-hard casings, triggering their evolutions into Metapod. A Metapod’s only defense is to use Harden; when under attack, they weather blows by raising their defenses, though extremely hard blows can occasionally crack their shells and expose their weak, liquid-like innards. They must conserve their energy to prepare for their final evolutions. To avoid attacks, these Pokémon stay motionless and simply ​wait. Metapod are remarkably patient, enduring whatever pain they must to reach their final stages. They must remain upright while biding their time or risk spilling out their innards. They are often regarded as nearly useless in battle, as freshly-caught Metapod are incapable of damaging foes at all (other than by using Struggle). Luckily, however, the Caterpie line undergoes some of the quickest evolutions known to date, and it does not take very long for Metapod to finally evolve into Butterfree.","Evolves from Caterpie at Lvl 7Evolves into Butterfree at Lvl 10","Bug"," 2'04\" | 0.7 m"," 21.8 lbs | 9.9 kg"," Shed Skin"," Bug","Habitat","Habitat","
			Caution
		"
